date,village_id,pH,turbidity_NTU,TDS_mg_L,temperature_C,diarrhea_cases,fever_cases,outbreak_label
2021-02-08,V001,7.15,3.07,401.1,19.8,2,5,0
2021-02-08,V002,7.23,3.8,350.9,20.3,3,3,0
2021-02-08,V003,6.84,1.78,332.7,18.4,0,3,0
2021-02-09,V001,7.39,2.61,381.0,23.8,2,1,0
2021-02-09,V002,7.24,1.87,328.1,22.2,3,2,0
2021-02-09,V003,7.16,0.5,386.5,22.1,0,7,0
2021-02-10,V001,7.51,2.67,344.1,22.0,2,0,0
2021-02-10,V002,7.46,1.36,331.2,20.5,1,5,0
2021-02-10,V003,7.24,1.91,337.2,22.9,5,2,0
2021-02-11,V001,7.45,2.43,397.9,20.1,2,5,0
2021-02-11,V002,7.27,2.08,337.2,20.0,2,1,0
2021-02-11,V003,7.06,1.11,377.7,22.2,0,3,0
2021-02-12,V001,7.08,2.71,317.1,26.7,1,3,0
2021-02-12,V002,7.39,4.39,469.4,25.4,3,5,0
2021-02-12,V003,7.26,1.4,351.0,20.5,2,1,0
2021-02-13,V001,7.23,2.57,354.2,20.9,2,1,0
2021-02-13,V002,6.8,2.64,314.5,23.3,2,3,0
2021-02-13,V003,7.28,2.36,371.2,22.3,4,4,0
2021-02-14,V001,7.5,3.3,407.0,22.4,3,2,0
2021-02-14,V002,7.08,1.51,248.0,20.8,3,4,0
2021-02-14,V003,7.36,3.91,357.4,23.1,1,3,0
2021-02-15,V001,6.85,2.2,380.0,18.6,3,3,0
2021-02-15,V002,7.42,2.74,409.8,24.3,3,3,0
2021-02-15,V003,7.39,1.07,334.0,19.4,3,4,0
2021-02-16,V001,7.47,1.06,340.9,22.8,0,6,0
2021-02-16,V002,7.35,2.77,387.3,21.1,2,3,0
2021-02-16,V003,7.02,2.77,387.2,18.7,1,3,0
2021-02-17,V001,7.46,3.69,413.5,20.4,2,3,0
2021-02-17,V002,7.42,1.41,376.9,22.9,3,3,0
2021-02-17,V003,7.43,0.68,301.5,23.5,1,4,0
2021-02-18,V001,7.21,1.21,290.4,24.6,2,3,0
2021-02-18,V002,7.01,2.63,343.5,20.0,1,2,0
2021-02-18,V003,7.08,0.85,388.8,23.4,3,4,0
2021-02-19,V001,7.06,2.29,371.1,22.8,3,4,0
2021-02-19,V002,7.4,1.49,479.1,22.4,2,2,0
2021-02-19,V003,7.25,3.62,374.0,22.5,3,3,0
2021-02-20,V001,7.8,4.56,274.0,19.9,3,4,0
2021-02-20,V002,7.45,2.38,363.8,25.8,3,5,0
2021-02-20,V003,7.57,3.31,389.8,25.0,3,1,0
2021-02-21,V001,7.19,3.12,368.6,22.2,0,2,0
2021-02-21,V002,7.07,2.82,342.4,23.6,4,6,0
2021-02-21,V003,7.04,1.75,269.9,21.8,5,3,0
2021-02-22,V001,7.52,2.5,372.5,22.8,3,3,0
2021-02-22,V002,7.01,3.09,291.0,19.0,2,2,0
2021-02-22,V003,7.25,4.87,275.7,19.6,1,2,0
2021-02-23,V001,6.81,2.7,409.3,19.5,2,2,0
2021-02-23,V002,7.02,2.64,343.4,23.3,2,0,0
2021-02-23,V003,7.12,3.01,313.9,19.4,1,5,0
2021-02-24,V001,7.42,2.66,323.0,21.1,3,1,0
2021-02-24,V002,7.14,2.4,312.4,22.4,2,6,0
2021-02-24,V003,7.18,2.8,281.7,26.3,2,6,0
2021-02-25,V001,7.13,2.73,396.1,20.6,2,5,0
2021-02-25,V002,7.16,2.37,350.0,22.5,2,1,0
2021-02-25,V003,7.4,3.07,292.7,24.0,3,2,0
2021-02-26,V001,7.33,2.73,340.8,25.4,0,5,0
2021-02-26,V002,7.15,3.26,304.2,17.3,2,2,0
2021-02-26,V003,7.01,2.35,305.1,18.7,2,3,0
2021-02-27,V001,7.2,2.71,390.9,22.8,2,1,0
2021-02-27,V002,7.05,1.85,355.5,25.3,2,3,0
2021-02-27,V003,7.39,1.84,380.1,20.3,1,2,0
2021-02-28,V001,6.79,0.76,305.8,23.3,2,3,0
2021-02-28,V002,7.13,0.5,416.9,21.0,1,4,0
2021-02-28,V003,7.16,2.99,328.0,22.8,1,4,0
2021-03-01,V001,7.17,2.17,339.5,23.1,4,3,0
2021-03-01,V002,7.09,2.75,377.3,16.5,2,2,0
2021-03-01,V003,7.27,1.9,338.5,21.0,1,4,0
2021-03-02,V001,6.97,1.82,367.6,20.0,3,2,0
2021-03-02,V002,7.19,3.47,348.9,22.6,3,3,0
2021-03-02,V003,7.07,2.66,384.4,22.1,1,1,0
2021-03-03,V001,7.05,0.89,416.8,18.4,0,3,0
2021-03-03,V002,7.05,2.33,473.6,19.5,2,3,0
2021-03-03,V003,7.22,1.63,344.1,22.8,3,1,0
2021-03-04,V001,7.24,2.78,365.3,19.9,1,3,0
2021-03-04,V002,7.25,2.49,311.9,23.5,2,3,0
2021-03-04,V003,7.31,1.83,369.9,23.3,2,3,0
2021-03-05,V001,7.36,3.89,279.8,22.0,0,1,0
2021-03-05,V002,6.97,2.86,391.8,21.2,3,4,0
2021-03-05,V003,7.02,2.51,279.9,21.2,3,3,0
2021-03-06,V001,7.27,2.96,266.5,22.9,2,4,0
2021-03-06,V002,7.15,2.42,347.0,20.5,1,3,0
2021-03-06,V003,7.34,2.4,380.8,20.4,3,2,0
2021-03-07,V001,7.16,1.78,271.1,20.3,2,5,0
2021-03-07,V002,7.47,2.32,309.5,23.4,3,4,0
2021-03-07,V003,6.86,2.21,328.9,20.6,3,5,0
2021-03-08,V001,7.05,3.4,407.9,21.9,2,1,0
2021-03-08,V002,6.95,2.72,275.5,24.7,1,3,0
2021-03-08,V003,7.03,1.14,332.3,21.2,1,3,0
2021-03-09,V001,7.71,2.57,365.0,23.1,0,3,0
2021-03-09,V002,7.2,2.11,294.8,21.7,1,4,0
2021-03-09,V003,7.04,2.31,291.0,20.1,3,3,0
2021-03-10,V001,7.01,2.85,307.3,21.1,4,2,0
2021-03-10,V002,7.18,2.19,372.3,22.4,1,2,0
2021-03-10,V003,7.27,2.3,406.6,21.4,3,4,0
2021-03-11,V001,7.37,3.29,467.9,22.2,1,2,0
2021-03-11,V002,7.03,1.79,289.5,19.9,1,2,0
2021-03-11,V003,7.26,3.05,341.6,24.0,2,2,0
2021-03-12,V001,7.16,3.62,449.0,22.7,1,1,0
2021-03-12,V002,7.18,2.91,310.2,23.0,1,1,0
2021-03-12,V003,7.14,3.3,415.1,25.4,1,0,0
2021-03-13,V001,7.15,3.68,313.7,19.0,1,6,0
2021-03-13,V002,6.87,2.6,312.4,19.7,2,9,0
2021-03-13,V003,7.08,2.06,221.5,24.3,3,3,0
2021-03-14,V001,7.35,1.48,344.8,26.7,1,1,0
2021-03-14,V002,7.08,3.3,396.7,24.5,0,0,0
2021-03-14,V003,7.08,4.28,280.5,21.9,2,4,0
2021-03-15,V001,7.32,3.08,381.8,20.2,3,5,0
2021-03-15,V002,7.01,0.5,358.1,17.6,2,2,0
2021-03-15,V003,7.43,2.2,385.4,20.9,2,3,0
2021-03-16,V001,7.45,2.4,363.3,23.3,1,9,0
2021-03-16,V002,7.06,0.78,312.7,22.2,5,3,0
2021-03-16,V003,6.96,2.47,363.3,17.8,2,4,0
2021-03-17,V001,7.3,1.19,407.2,23.7,3,2,0
2021-03-17,V002,7.49,2.22,244.2,19.8,4,4,0
2021-03-17,V003,7.23,3.5,354.2,23.1,4,5,0
2021-03-18,V001,7.14,2.16,425.8,21.8,2,5,0
2021-03-18,V002,7.07,1.83,277.4,19.7,1,3,0
2021-03-18,V003,7.23,1.93,307.7,23.1,4,1,0
2021-03-19,V001,7.19,1.23,284.9,22.0,5,3,0
2021-03-19,V002,7.52,3.25,338.5,26.3,3,3,0
2021-03-19,V003,7.41,2.55,433.1,22.1,0,3,0
2021-03-20,V001,7.22,2.82,292.5,22.7,5,6,0
2021-03-20,V002,7.33,1.36,390.4,22.3,5,1,0
2021-03-20,V003,7.34,2.67,380.4,20.7,1,2,0
2021-03-21,V001,7.57,3.08,366.0,18.8,0,4,0
2021-03-21,V002,7.4,1.79,264.3,21.5,3,4,0
2021-03-21,V003,7.03,2.82,315.5,19.6,2,2,0
2021-03-22,V001,6.8,3.03,431.0,25.1,1,2,0
2021-03-22,V002,7.17,1.9,329.2,23.0,1,4,0
2021-03-22,V003,7.39,2.6,258.9,20.1,2,2,0
2021-03-23,V001,7.28,3.35,345.6,22.4,1,5,0
2021-03-23,V002,7.4,1.85,269.3,21.6,2,4,0
2021-03-23,V003,7.18,2.07,294.3,23.8,4,2,0
2021-03-24,V001,7.2,2.83,346.1,19.2,1,5,0
2021-03-24,V002,7.42,3.47,335.4,23.5,1,5,0
2021-03-24,V003,7.0,3.64,292.0,20.8,1,4,0
2021-03-25,V001,7.09,2.78,454.8,21.0,0,4,0
2021-03-25,V002,7.32,2.05,367.8,19.9,3,4,0
2021-03-25,V003,7.27,0.8,283.5,24.1,4,3,0
2021-03-26,V001,7.07,1.04,307.2,18.7,2,2,0
2021-03-26,V002,7.23,2.91,397.7,18.7,6,3,0
2021-03-26,V003,7.15,2.0,396.2,18.2,4,5,0
2021-03-27,V001,7.32,2.12,282.4,19.4,2,6,0
2021-03-27,V002,6.98,3.16,353.6,23.0,2,3,0
2021-03-27,V003,7.3,2.26,372.1,19.5,3,0,0
2021-03-28,V001,7.31,2.08,363.5,18.5,1,4,0
2021-03-28,V002,6.95,1.96,390.8,21.5,1,2,0
2021-03-28,V003,7.3,2.25,380.6,21.4,0,5,0
2021-03-29,V001,7.38,3.13,333.4,20.6,3,2,0
2021-03-29,V002,7.22,1.36,354.7,22.3,0,3,0
2021-03-29,V003,7.5,3.24,380.0,25.3,2,1,0
2021-03-30,V001,7.25,1.47,323.2,24.3,1,0,0
2021-03-30,V002,6.98,1.49,395.3,18.4,2,0,0
2021-03-30,V003,7.28,2.97,316.9,23.9,3,8,0
2021-03-31,V001,7.41,3.68,272.1,21.2,4,1,0
2021-03-31,V002,7.22,0.5,352.3,22.6,2,5,0
2021-03-31,V003,7.33,3.09,389.2,24.3,2,2,0
2021-04-01,V001,7.22,2.33,355.6,25.4,1,1,0
2021-04-01,V002,7.24,2.09,354.7,25.1,1,3,0
2021-04-01,V003,7.42,2.4,330.3,22.5,1,4,0
2021-04-02,V001,7.01,3.23,322.4,19.7,3,0,0
2021-04-02,V002,7.35,1.94,363.9,19.6,0,3,0
2021-04-02,V003,7.09,1.99,312.0,19.4,1,4,0
2021-04-03,V001,7.62,2.9,406.8,21.6,0,3,0
2021-04-03,V002,7.02,3.51,359.2,25.3,1,4,0
2021-04-03,V003,7.46,1.57,349.7,23.7,3,3,0
2021-04-04,V001,7.14,2.35,384.2,20.8,3,2,0
2021-04-04,V002,7.27,2.88,325.0,15.6,2,3,0
2021-04-04,V003,7.17,3.18,368.6,19.5,1,2,0
2021-04-05,V001,6.92,2.85,378.2,23.6,1,4,0
2021-04-05,V002,7.47,0.97,335.0,21.2,2,6,0
2021-04-05,V003,6.97,2.13,357.5,18.9,2,4,0
2021-04-06,V001,7.29,3.73,304.1,25.7,1,3,0
2021-04-06,V002,7.24,4.06,304.7,18.1,3,2,0
2021-04-06,V003,7.12,2.02,305.3,24.2,1,3,0
2021-04-07,V001,7.34,3.51,327.3,20.3,4,2,0
2021-04-07,V002,7.43,2.58,417.0,24.5,1,1,0
2021-04-07,V003,7.04,3.06,383.5,24.4,0,3,0
2021-04-08,V001,6.91,4.18,432.9,22.3,1,4,0
2021-04-08,V002,7.53,2.51,431.7,20.7,3,3,0
2021-04-08,V003,7.02,1.08,285.0,22.0,4,2,0
2021-04-09,V001,7.09,2.32,399.0,21.7,2,1,0
2021-04-09,V002,6.74,2.5,374.0,24.9,6,6,0
2021-04-09,V003,6.8,1.53,389.6,19.4,3,4,0
2021-04-10,V001,7.19,1.01,347.6,21.5,1,3,0
2021-04-10,V002,7.39,2.0,403.5,21.4,2,3,0
2021-04-10,V003,7.27,3.37,313.3,20.9,2,3,0
2021-04-11,V001,6.98,2.66,221.9,21.8,1,2,0
2021-04-11,V002,7.14,2.56,369.8,23.7,0,7,0
2021-04-11,V003,7.44,2.03,355.6,19.6,4,3,0
2021-04-12,V001,6.83,3.98,307.0,19.5,0,1,0
2021-04-12,V002,7.25,2.22,366.3,20.7,1,5,0
2021-04-12,V003,7.01,2.67,303.1,22.1,3,2,0
2021-04-13,V001,6.95,4.21,315.6,22.5,1,1,0
2021-04-13,V002,7.19,2.68,313.4,19.8,1,5,0
2021-04-13,V003,7.17,1.12,306.3,18.8,4,0,0
2021-04-14,V001,7.15,2.46,450.2,22.6,2,3,0
2021-04-14,V002,7.23,1.94,357.6,21.6,1,3,0
2021-04-14,V003,7.47,4.38,317.6,20.1,3,0,0
2021-04-15,V001,6.92,2.98,307.9,23.5,3,6,0
2021-04-15,V002,6.89,2.04,337.4,19.6,1,3,0
2021-04-15,V003,7.03,2.63,436.0,22.3,1,3,0
2021-04-16,V001,7.06,3.07,415.6,22.7,3,5,0
2021-04-16,V002,7.12,2.58,348.7,24.0,4,4,0
2021-04-16,V003,6.98,1.99,346.1,20.8,0,7,0
2021-04-17,V001,7.24,2.74,327.7,26.3,1,4,0
2021-04-17,V002,7.2,2.48,332.1,22.2,1,0,0
2021-04-17,V003,7.17,2.92,347.8,23.9,1,3,0
2021-04-18,V001,6.93,2.7,384.7,23.3,2,3,0
2021-04-18,V002,7.17,2.57,323.5,20.6,3,2,0
2021-04-18,V003,6.78,2.3,332.5,23.2,1,10,0
2021-04-19,V001,7.02,3.15,301.0,23.0,2,2,0
2021-04-19,V002,6.98,3.27,373.8,16.6,1,3,0
2021-04-19,V003,7.0,2.72,281.8,23.9,2,3,0
2021-04-20,V001,7.1,2.64,337.9,19.4,0,3,0
2021-04-20,V002,7.21,2.87,339.9,20.7,1,4,0
2021-04-20,V003,7.41,3.74,280.8,19.9,0,1,0
2021-04-21,V001,7.2,3.66,324.1,25.7,0,0,0
2021-04-21,V002,7.27,2.73,395.3,23.8,3,7,0
2021-04-21,V003,7.17,1.82,393.0,23.2,1,3,0
2021-04-22,V001,7.08,2.88,338.9,20.6,3,1,0
2021-04-22,V002,7.13,1.4,365.3,21.8,1,1,0
2021-04-22,V003,7.08,1.84,414.5,18.6,1,3,0
2021-04-23,V001,6.99,1.02,404.5,21.3,1,2,0
2021-04-23,V002,7.62,3.23,328.6,20.2,1,1,0
2021-04-23,V003,6.9,0.5,403.5,22.6,0,3,0
2021-04-24,V001,7.1,2.1,340.0,23.4,3,3,0
2021-04-24,V002,7.55,2.23,328.1,24.3,1,6,0
2021-04-24,V003,6.8,3.48,324.8,25.5,4,3,0
2021-04-25,V001,7.46,2.14,342.2,17.7,1,3,0
2021-04-25,V002,7.43,2.31,358.3,18.5,3,2,0
2021-04-25,V003,7.16,3.3,316.2,24.4,0,2,0
2021-04-26,V001,7.15,2.96,433.4,20.8,5,2,0
2021-04-26,V002,7.12,2.81,434.9,22.6,3,4,0
2021-04-26,V003,7.31,3.4,392.4,21.8,3,2,0
2021-04-27,V001,7.16,3.48,278.3,22.0,0,4,0
2021-04-27,V002,7.13,3.32,393.8,21.1,3,2,0
2021-04-27,V003,7.23,0.83,323.0,22.4,1,5,0
2021-04-28,V001,7.05,3.22,365.2,19.6,2,3,0
2021-04-28,V002,7.11,3.57,307.1,22.9,5,2,0
2021-04-28,V003,7.18,2.77,376.3,19.2,1,5,0
2021-04-29,V001,7.36,2.52,421.2,22.0,1,5,0
2021-04-29,V002,7.35,1.53,184.1,26.3,2,2,0
2021-04-29,V003,7.24,2.46,360.6,22.9,2,5,0
2021-04-30,V001,7.48,1.67,389.8,23.2,2,3,0
2021-04-30,V002,7.27,1.62,295.6,23.7,0,4,0
2021-04-30,V003,7.39,3.05,319.7,21.3,1,2,0
2021-05-01,V001,7.22,2.84,330.3,19.6,3,0,0
2021-05-01,V002,7.08,1.65,330.7,19.2,4,4,0
2021-05-01,V003,7.01,1.99,415.4,25.5,0,4,0
2021-05-02,V001,7.17,4.1,362.5,23.6,3,4,0
2021-05-02,V002,7.42,1.47,329.0,22.3,2,0,0
2021-05-02,V003,7.05,2.92,317.3,22.8,1,5,0
2021-05-03,V001,7.16,2.23,352.6,24.3,0,2,0
2021-05-03,V002,7.19,1.72,333.6,22.9,3,2,0
2021-05-03,V003,7.03,2.61,357.5,21.7,1,4,0
2021-05-04,V001,7.41,1.97,252.1,21.9,3,2,0
2021-05-04,V002,7.25,1.97,386.6,22.6,3,5,0
2021-05-04,V003,7.14,1.88,323.3,23.1,3,2,0
2021-05-05,V001,7.37,2.63,237.4,24.5,1,6,0
2021-05-05,V002,7.3,2.04,394.6,21.0,4,5,0
2021-05-05,V003,7.2,2.35,359.3,21.0,3,1,0
2021-05-06,V001,7.3,2.72,302.9,21.3,3,3,0
2021-05-06,V002,7.28,1.34,342.2,22.2,1,2,0
2021-05-06,V003,7.2,1.95,370.6,26.5,2,3,0
2021-05-07,V001,6.76,2.8,322.1,24.3,0,4,0
2021-05-07,V002,7.13,1.89,443.5,21.7,4,5,0
2021-05-07,V003,7.01,2.79,387.3,20.9,2,2,0
2021-05-08,V001,7.13,3.29,382.7,22.0,1,3,0
2021-05-08,V002,7.28,2.1,334.0,22.3,1,3,0
2021-05-08,V003,7.36,1.87,331.2,23.6,0,2,0
2021-05-09,V001,7.08,2.05,439.8,19.8,1,5,0
2021-05-09,V002,7.17,2.6,334.1,21.6,2,2,0
2021-05-09,V003,7.4,1.78,307.4,19.3,3,0,0
2021-05-10,V001,7.38,1.52,350.3,23.7,1,1,0
2021-05-10,V002,7.17,3.03,374.8,20.1,3,0,0
2021-05-10,V003,7.15,4.19,446.8,19.7,4,6,0
2021-05-11,V001,7.11,2.72,443.1,19.6,1,2,0
2021-05-11,V002,7.03,1.77,363.8,22.7,1,1,0
2021-05-11,V003,7.27,4.1,363.8,21.3,3,1,0
2021-05-12,V001,7.41,2.06,279.8,23.5,3,0,0
2021-05-12,V002,7.12,2.6,260.1,21.1,0,3,0
2021-05-12,V003,7.34,2.04,353.7,20.0,1,0,0
2021-05-13,V001,7.83,2.68,331.1,22.0,4,2,0
2021-05-13,V002,7.12,3.42,416.8,23.3,3,2,0
2021-05-13,V003,7.37,1.86,336.2,26.2,3,2,0
2021-05-14,V001,7.17,2.37,351.2,22.0,1,2,0
2021-05-14,V002,7.01,1.82,335.6,22.0,1,6,0
2021-05-14,V003,7.3,2.93,372.2,20.1,1,1,0
2021-05-15,V001,6.79,3.1,375.4,20.9,1,4,0
2021-05-15,V002,6.83,2.07,333.4,20.5,2,4,0
2021-05-15,V003,6.8,1.78,310.0,20.3,4,1,0
2021-05-16,V001,7.12,1.82,353.3,22.1,1,5,0
2021-05-16,V002,6.98,2.42,408.8,23.0,4,2,0
2021-05-16,V003,7.16,1.88,350.5,23.7,1,0,0
2021-05-17,V001,7.33,2.02,325.4,21.2,2,2,0
2021-05-17,V002,7.29,2.52,297.6,21.3,3,2,0
2021-05-17,V003,7.36,3.27,445.2,22.4,2,3,0
2021-05-18,V001,7.33,2.86,278.8,22.9,2,7,0
2021-05-18,V002,6.98,1.8,281.1,21.7,1,2,0
2021-05-18,V003,7.42,2.05,408.2,22.9,2,2,0
2021-05-19,V001,7.22,2.34,354.1,20.8,2,2,0
2021-05-19,V002,6.95,2.24,339.1,19.1,0,0,0
2021-05-19,V003,6.85,3.46,336.0,21.7,2,3,0
2021-05-20,V001,7.23,2.94,324.3,16.7,3,3,0
2021-05-20,V002,7.46,3.91,378.3,22.3,3,2,0
2021-05-20,V003,6.8,1.25,310.8,23.9,5,0,0
2021-05-21,V001,7.49,3.0,290.8,21.5,0,3,0
2021-05-21,V002,7.09,1.74,286.7,25.7,1,0,0
2021-05-21,V003,7.31,2.86,290.2,23.4,1,2,0
2021-05-22,V001,7.24,2.58,357.0,21.5,5,6,0
2021-05-22,V002,7.25,3.16,298.0,20.8,1,4,0
2021-05-22,V003,7.13,4.44,343.6,20.6,3,5,0
2021-05-23,V001,7.47,2.3,385.8,21.6,1,3,0
2021-05-23,V002,7.2,1.73,265.8,22.3,3,0,0
2021-05-23,V003,7.23,2.08,343.6,24.3,3,4,0
2021-05-24,V001,7.33,2.42,320.0,20.8,2,2,0
2021-05-24,V002,7.1,0.93,326.4,25.1,2,3,0
2021-05-24,V003,7.41,2.74,409.3,19.9,2,2,0
2021-05-25,V001,7.16,4.15,327.1,23.8,4,4,0
2021-05-25,V002,7.34,2.03,331.5,23.7,3,4,0
